Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000650850,G21050102,20001046,62.1406,65.3936
770000690557,G21050102,20001046,62.1406,65.3936
770000652859,G21050102,20001046,62.1406,65.3936
770000306101,G21050102,20001046,62.1406,65.3936
770000873179,G21050102,20001046,62.1406,65.3936
770000745529,G21050102,20001046,62.1406,65.3936
770000310058,G210502,20001046,62.1406,65.3936
770000784520,G21050102,20001046,62.1406,65.3936
770000872808,G21050102,20001046,62.1406,65.3936
770000784522,G21050102,20001046,62.1406,65.3936
770000126918,G210502,20001046,62.1406,65.3936
770000841381,G21050102,20001046,62.1406,65.3936
770000243891,G210502,20001046,62.1406,65.3936
770000849799,G21050102,20001046,62.1406,65.3936
770000872678,G21050102,20001046,62.1406,65.3936
770000849792,G21050102,20001046,62.1406,65.3936
770000019541,G21050102,20001046,62.1406,65.3936
770000506126,G21050102,20001046,62.1406,65.3936
770000846780,G21050102,20001046,62.1406,65.3936
770000518626,G21050102,20001046,62.1406,65.3936
770000015118,G21050102,20001046,62.1406,65.3936
770000538751,G2106,20001046,62.1406,65.3936
770000084824,G2106,20001046,62.1406,65.3936
770000417658,G21050370,20001046,62.1406,65.3936
770000299873,G21050102,20000732,66.8811,79.4907
770000872802,G21050102,20001046,62.1406,65.3936
770000283838,G21050370,20001046,62.1406,65.3936
770000872808,G21050102,20000447,52.3445327,84.4583842
770000872731,G210502,20000447,52.3445327,84.4583842
770000015102,G210502,20000447,52.3445327,84.4583842
770000375689,G210502,20000447,52.3445327,84.4583842
770000605612,G21050102,20000447,52.3445327,84.4583842
770000356647,G21050102,20000447,52.3445327,84.4583842
770000873315,G21050102,20000447,52.3445327,84.4583842
770000486066,G21050102,20000447,52.3445327,84.4583842
770000524905,G21050102,20000447,52.3445327,84.4583842
770000810642,G21050102,20000447,52.3445327,84.4583842
770000356434,G21050102,20000447,52.3445327,84.4583842
770000146136,G21050102,20000447,52.3445327,84.4583842
770000872816,G21050102,20000447,52.3445327,84.4583842
770000666791,G21050301,20001123,66.8811,79.4907
770000285701,G21050102,8536,55.00907075000001,73.29768400924007
770000876559,G21050102,8536,55.00907075000001,73.29768400924007
770000876560,G21050102,8536,55.00907075000001,73.29768400924007
770000285704,G21050102,8536,55.00907075000001,73.29768400924007
770000822505,G210511,20000447,52.3445327,84.4583842
770000821577,G210402,20000447,52.3445327,84.4583842
770000893681,G2106,20000537,66.6615094,66.3810869
770000615245,G2106,20000537,66.6615094,66.3810869
770000893682,G2106,20000537,66.6615094,66.3810869
770000924789,G21050101,20000537,66.6615094,66.3810869
770000537386,G21050301,20000537,66.6615094,66.3810869
770000870174,G210502,20000537,66.6615094,66.3810869
