Материал,Класс,Поставщики
1173771,G210511,"['104795', '59541', '51983', '111892', '94990', '83996', '47772', '94401', '112848']"
1173796,G210511,"['59541', '58691', '61448', '76925', '47772']"
1173805,G210511,"['104795', '59541', '51983', '111892', '94990', '83996', '47772', '94401', '112848']"
1173837,G210508,['58691']
1173843,G210508,['61448']
1173912,G210511,"['59541', '47772', '58691']"
1173942,G210509,"['76925', '44114', '58691']"
1173999,G210513,"['61448', '47772', '58691']"
1174014,G210513,"['61448', '47772', '58691']"
1174024,G210513,"['59541', '58691', '61448', '76925', '47772']"
1174030,G210513,"['59541', '58691', '61448', '76925', '47772']"
1174036,G210513,"['59541', '58691', '61448', '76925', '47772']"
1174043,G210513,"['104795', '59541', '58691', '94990', '76925', '47772', '94401']"
1174046,G210513,"['59541', '76925', '47772', '58691']"
1174052,G210513,"['59541', '47772', '58691']"
1174056,G210513,"['61448', '47772', '58691']"
1174059,G210513,"['104795', '59541', '58691', '61448', '94990', '76925', '47772', '94401']"
1174062,G210513,"['76925', '61448', '47772', '58691']"
1174066,G210513,"['104795', '59541', '58691', '61448', '94990', '76925', '47772', '94401']"
1174069,G210513,"['104795', '59541', '58691', '61448', '94990', '76925', '47772', '94401']"
1174072,G210513,"['61448', '47772', '58691']"
1174075,G210513,"['61448', '47772', '58691']"
1174077,G210513,"['59541', '58691', '61448', '76925', '47772']"
1174081,G210513,"['76925', '61448', '47772', '58691']"
1174084,G210513,"['104795', '47772', '94990', '94401']"
1174117,G210470,['96624']
1176143,G210470,['91364']
1179911,G2114,['73022']
1183736,G210511,"['7175103124', '7140705495', '7139206814']"
1192205,G21050301,"['7166903534', '7166902059']"
1192984,G21050104,['94401']
1195534,G21050370,"['69418', '73273']"
1199170,G21050104,"['47772', '104735', '104734', '51983']"
1201788,G210502,"['59541', '58691', '52095', '61448', '47772']"
1202566,G210502,"['27645', '47772', '58691', '39295']"
1202568,G210502,['47772']
1202575,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
1202977,G21050102,"['104795', '51983', '58060', '94990', '104735']"
1202993,G21050101,['7166910140']
1202995,G21050101,"['70182', '58837', '72249', '7166930275', '72631', '85862', '83996', '47772']"
1202998,G21050101,"['59541', '47772', '58691']"
1202999,G21050101,"['59365', '47772', '58691', '59541']"
1203050,G2160,"['49306', '39265', '74504', '68082', '44284']"
1205670,G21050102,['47772']
1205698,G21050102,['47772']
1205699,G21050102,['58691']
1205705,G21050102,"['27645', '47772', '39295']"
1205707,G21050102,"['58691', '27645']"
1205740,G2110,"['106015', '74111']"
1207054,G210402,['7120000849']
1207060,G210402,"['27645', '57650']"
1207533,G21050101,"['59541', '76925', '47772', '58691']"
1207538,G21050102,"['59541', '58691', '52095', '61448', '47772']"
1215231,G21050102,"['75815', '62488', '58691', '109173', '58857', '61448', '72164', '47772']"
1215287,G2107,['58691']
1215823,G21050301,"['75815', '50683', '68501', '75422', '40222', '88299', '58857', '100481', '7120000791', '23288', '94293']"
1217298,G21050301,['50615']
1219157,G2110,['52264']
1219162,G2110,['52264']
1223199,G21050102,['59219']
1223261,G2106,['7175103124']
1223550,G210502,"['59541', '76120', '83996', '47772', '60519']"
1225596,G2106,['66005']
1225611,G21050102,"['47772', '94401', '104734']"
1226164,G21050370,['69418']
1228140,G21050102,"['96624', '7139204757', '7175110174']"
