Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
24446.0,770000868476,"Кабель ВБШвнг(А)-LS 5х70мс(N,PE)-1",КМ,0.16,6,2020,1,2020-06-30,24446.0,1933056.0,,10947664,70,2020-03-03,5
24446.0,770000842980,Заглушка 8290/3-M20 Stahl,ШТ,1.0,6,2020,1,2020-06-03,24446.0,1170.0,,10948034,1220,2020-03-03,5
24446.0,770000843015,Заглушка стопорная CK M20 Raxton,ШТ,1.0,6,2020,1,2020-06-03,24446.0,85800.0,,10948034,2210,2020-03-03,5
44114.0,770000889493,Кабель К9РВСБПМнг(А)-HF 4х6ок(PE)-1,КМ,0.802,10,2020,2,2020-10-17,20001123.0,1030471.03,Конкурентный отбор,10947616,160,2020-03-03,6
44114.0,770000889498,"Кабель К9РВСБПМнг(А)-HF 4х2,5ок(PE)-1",КМ,0.198,10,2020,2,2020-10-17,20001123.0,610360.4,Конкурентный отбор,10947616,170,2020-03-03,6
44114.0,770000886503,"Кабель К9РВСБПМнг(А)-HF 3х16мк(N,PE)-1",КМ,0.05,10,2020,2,2020-10-17,20001123.0,6234676.8,Конкурентный отбор,10949179,90,2020-03-05,6
44114.0,770000889498,"Кабель К9РВСБПМнг(А)-HF 4х2,5ок(PE)-1",КМ,0.03,10,2020,2,2020-10-17,20001123.0,610360.4,Конкурентный отбор,10949179,100,2020-03-05,6
44114.0,770000889492,Кабель К9РВСБПМнг(А)-HF 4х16мк(N)-1,КМ,0.141,10,2020,2,2020-10-17,20001123.0,2314456.27,Конкурентный отбор,10949179,120,2020-03-05,6
8536.0,770000508595,"Кабель КПСЭнг(А)-FRLS 2х2х0,75",КМ,2.03,9,2020,2,2020-09-30,8536.0,71634.0,,10950240,200,2020-03-10,6
24446.0,770000932412,Кабель ЭПОКС-МВВЭфзнг(А)-LS 2х2х1,КМ,0.473,10,2020,2,2020-10-30,24446.0,138702.0,,10949259,410,2020-03-05,6
24446.0,770000844146,Кабель ВВГнг(А)-LS 3х120-6,КМ,0.02,10,2020,2,2020-10-30,24446.0,23121435.62,Конкурентный отбор,10949289,30,2020-03-05,6
44114.0,770000852529,"Кабель К9РВСБПМнг(А)-HF 5х50мк(N,PE)-1",КМ,0.075,8,2020,2,2020-08-20,20001123.0,19676019.6,Конкурентный отбор,10947616,180,2020-03-03,7
44114.0,770000852540,"Кабель К9РВСБПМнг(А)-HF 5х16мк(N,PE)-1",КМ,0.445,8,2020,2,2020-08-20,20001123.0,2455045.74,Конкурентный отбор,10947616,190,2020-03-03,7
44114.0,770000657987,"Кабель К9РВСБПМнг(А)-HF 5х6ок(N,PE)0,6/1",КМ,0.11,8,2020,2,2020-08-20,20001123.0,1313181.78,Конкурентный отбор,10947616,200,2020-03-03,7
44114.0,770000852520,"Кабель К9РВСБПМнг(А)-HF 5х2,5ок(N,PE)-1",КМ,2.501,8,2020,2,2020-08-20,20001123.0,707249.09,Конкурентный отбор,10947616,210,2020-03-03,7
44114.0,770000889495,Кабель К9РВСБПМнг(А)-HF 4х10ок(PE)-1,КМ,0.089,8,2020,2,2020-08-20,20001123.0,2067805.6,Конкурентный отбор,10947616,220,2020-03-03,7
44114.0,770000852524,"Кабель К9РВСБПМнг(А)-HF 5х25мк(N,PE)-1",КМ,0.035,8,2020,2,2020-08-20,20001123.0,20464198.4,Конкурентный отбор,10947616,230,2020-03-03,7
44114.0,770000717414,"Кабель К9РВСБПМнг(А)-HF 3х2,5ок(N,PE)-1",КМ,0.677,8,2020,2,2020-08-20,20001123.0,572108.59,Конкурентный отбор,10947616,240,2020-03-03,7
44114.0,770000895275,"Кабель КУИНнг(А)-HF 5х1,5 ПЭ-ЭХЛ",КМ,0.15,8,2020,2,2020-08-15,20001123.0,1193030.8,Конкурентный отбор,10947616,250,2020-03-03,7
24446.0,770000769315,"Кабель ВВГнг(А)-LS 3х1,5ок(N,PE)-1",КМ,1.14,7,2020,2,2020-07-30,24446.0,34560.0,,10947663,60,2020-03-03,7
