Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,1.04,12,2023,2,2023-12-01,20001013.0,257485.02,Закупка у единственного поставщика,11485375,490,2023-07-03,100000692760.0
27605.0,770001501392,"Кабель КПпБП-130 3х16-3,3",КМ,0.2,12,2023,2,2023-12-01,20001013.0,257485.02,Закупка у единственного поставщика,11485375,500,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.46,12,2023,2,2023-12-01,20001013.0,257485.02,Закупка у единственного поставщика,11485375,550,2023-07-03,100000692760.0
27605.0,770000345147,Кабель КБТ-232-CELF 3х16 4кВ,КМ,0.5,12,2023,2,2023-12-01,20001013.0,850142.09,Закупка у единственного поставщика,11485375,560,2023-07-03,100000692760.0
27605.0,770001496965,Кабель КПвПпБП-130 3х16-4,КМ,2.275,12,2023,2,2023-12-01,20001013.0,451179.92,Закупка у единственного поставщика,11485375,570,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.635,12,2023,2,2023-12-01,20001013.0,403768.12,Закупка у единственного поставщика,11485375,650,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.49,10,2023,2,2023-10-02,20001013.0,789979.08,Закупка у единственного поставщика,11485375,660,2023-07-03,100000692760.0
27605.0,770000719577,Кабель КПвПпБП-130 3х16-4кВ,КМ,0.36,12,2023,2,2023-12-01,20001013.0,403768.13,Закупка у единственного поставщика,11485375,670,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.485,12,2023,2,2023-12-01,20001013.0,403768.13,Закупка у единственного поставщика,11485375,740,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.575,12,2023,2,2023-12-01,20001013.0,403768.13,Закупка у единственного поставщика,11485375,750,2023-07-03,100000692760.0
27605.0,770000719577,Кабель КПвПпБП-130 3х16-4кВ,КМ,1.0,12,2023,2,2023-12-01,20001013.0,456360.12,Закупка у единственного поставщика,11485375,760,2023-07-03,100000692760.0
27605.0,770001496965,Кабель КПвПпБП-130 3х16-4,КМ,0.69,12,2023,2,2023-12-01,20001013.0,456360.12,Закупка у единственного поставщика,11485375,770,2023-07-03,100000692760.0
27605.0,770001501392,"Кабель КПпБП-130 3х16-3,3",КМ,0.75,12,2023,2,2023-12-01,20001013.0,456360.11,Закупка у единственного поставщика,11485375,780,2023-07-03,100000692760.0
27605.0,770000345147,Кабель КБТ-232-CELF 3х16 4кВ,КМ,0.45,12,2023,2,2023-12-01,20001013.0,1024743.92,Закупка у единственного поставщика,11485375,790,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,1200750.13,Закупка у единственного поставщика,11485375,850,2023-07-03,100000692760.0
27605.0,770001496924,Кабель КПпБП-130 3х16-4,КМ,2.445,12,2023,2,2023-12-01,20001013.0,415060.56,Закупка у единственного поставщика,11485375,860,2023-07-03,100000692760.0
27605.0,770000409311,Кабель КЭСБП-230 3х16 4кВ,КМ,0.5,12,2023,2,2023-12-01,20001013.0,589233.82,Закупка у единственного поставщика,11485375,900,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.6,12,2023,2,2023-12-01,20001013.0,310662.72,Закупка у единственного поставщика,11485375,910,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.28,12,2023,2,2023-12-01,20001013.0,310662.73,Закупка у единственного поставщика,11485375,950,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.39,12,2023,2,2023-12-01,20001013.0,310662.71,Закупка у единственного поставщика,11485375,960,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,1.02,12,2023,2,2023-12-01,20001013.0,310662.72,Закупка у единственного поставщика,11485375,970,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.7,10,2023,2,2023-10-02,20001013.0,87108.77,Закупка у единственного поставщика,11485375,980,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,2.09,12,2023,2,2023-12-01,20001013.0,64863.67,Закупка у единственного поставщика,11485375,990,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.55,10,2023,2,2023-10-02,20001013.0,733514.21,Закупка у единственного поставщика,11485375,1000,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.335,12,2023,2,2023-12-01,20001013.0,427273.54,Закупка у единственного поставщика,11485375,1010,2023-07-03,100000692760.0
27605.0,770001496965,Кабель КПвПпБП-130 3х16-4,КМ,1.365,12,2023,2,2023-12-01,20001013.0,427273.56,Закупка у единственного поставщика,11485375,1020,2023-07-03,100000692760.0
27605.0,770001496965,Кабель КПвПпБП-130 3х16-4,КМ,0.38,12,2023,2,2023-12-01,20001013.0,427273.55,Закупка у единственного поставщика,11485375,1040,2023-07-03,100000692760.0
27605.0,770000800287,Кабель нефтепогружной КПпБП-130 3х16-4,КМ,0.2,12,2023,2,2023-12-01,20001013.0,427273.56,Закупка у единственного поставщика,11485375,1050,2023-07-03,100000692760.0
27605.0,770001501392,"Кабель КПпБП-130 3х16-3,3",КМ,0.668,12,2023,2,2023-12-01,20001013.0,387030.95,Закупка у единственного поставщика,11485375,1060,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.48,10,2023,2,2023-10-02,20001013.0,844131.62,Закупка у единственного поставщика,11485375,1070,2023-07-03,100000692760.0
27605.0,770001496965,Кабель КПвПпБП-130 3х16-4,КМ,0.735,12,2023,2,2023-12-01,20001013.0,387030.96,Закупка у единственного поставщика,11485375,1080,2023-07-03,100000692760.0
